Song title,URL,Popularity,Year
Romance Lyrics,http://www.metrolyrics.com/romance-lyrics-rem.html,6,2006
Rotary 11 Lyrics,http://www.metrolyrics.com/rotary-11-lyrics-rem.html,6,2014
Rotary Ten Lyrics,http://www.metrolyrics.com/rotary-ten-lyrics-rem.html,6,2008
Sad Professor Lyrics,http://www.metrolyrics.com/sad-professor-lyrics-rem.html,6,2014
Saturn Return Lyrics,http://www.metrolyrics.com/saturn-return-lyrics-rem.html,6,2006
Second Guessing Lyrics,http://www.metrolyrics.com/second-guessing-lyrics-rem.html,6,2006
See No Evil Lyrics,http://www.metrolyrics.com/see-no-evil-lyrics-rem.html,6,2006
Selingkar Kasih Lyrics,http://www.metrolyrics.com/selingkar-kasih-lyrics-rem.html,79.712207337326,2010
Seven Chinese Brothers Lyrics,http://www.metrolyrics.com/seven-chinese-brothers-lyrics-rem.html,6,2006
Shaking Through Lyrics,http://www.metrolyrics.com/shaking-through-lyrics-rem.html,31.870966422084,2006
She Just Wants To Be Lyrics,http://www.metrolyrics.com/she-just-wants-to-be-lyrics-rem.html,6,2006
Sheherazade Lyrics,http://www.metrolyrics.com/sheherazade-lyrics-rem.html,6,2006
Shiny Happy People Lyrics,http://www.metrolyrics.com/shiny-happy-people-lyrics-rem.html,43.510638207939,2011
Sing For The Submarine Lyrics,http://www.metrolyrics.com/sing-for-the-submarine-lyrics-rem.html,6,2008
Sitting Still Lyrics,http://www.metrolyrics.com/sitting-still-lyrics-rem.html,6,2011
"So Fast, So Numb Lyrics",http://www.metrolyrics.com/so-fast-so-numb-lyrics-rem.html,6,2006
So. Central Rain Lyrics,http://www.metrolyrics.com/so-central-rain-lyrics-rem.html,13.726078121136,2011
So. Central Rain (I'm Sorry) Lyrics,http://www.metrolyrics.com/so-central-rain-im-sorry-lyrics-rem.html,6,2016
Southern Central Rain Lyrics,http://www.metrolyrics.com/southern-central-rain-im-sorry-lyrics-rem.html,6,2007
Sponge Lyrics,http://www.metrolyrics.com/sponge-lyrics-rem.html,6,2006
Stand Lyrics,http://www.metrolyrics.com/stand-lyrics-rem.html,31.870966422084,2003
Star 69 Lyrics,http://www.metrolyrics.com/star-69-lyrics-rem.html,6,2006
Star Me Kitten Lyrics,http://www.metrolyrics.com/star-me-kitten-lyrics-rem.html,6,2006
Staring Down the Barrel of the Middle Distance Lyrics,http://www.metrolyrics.com/staring-down-the-barrel-of-the-middle-distance-lyrics-rem.html,6,2016
Strange Lyrics,http://www.metrolyrics.com/strange-lyrics-rem.html,6,2008
Strange (wire) Lyrics,http://www.metrolyrics.com/strange-wire-lyrics-rem.html,21.755319103969,2008
Strange Currencies Lyrics,http://www.metrolyrics.com/strange-currencies-lyrics-rem.html,35.481397225105,2006
Stumble Lyrics,http://www.metrolyrics.com/stumble-lyrics-rem.html,6,2006
Summer Turns To High Lyrics,http://www.metrolyrics.com/summer-turns-to-high-lyrics-rem.html,6,2006
Superman Lyrics,http://www.metrolyrics.com/superman-lyrics-rem.html,27.452156242272,2006
Supernatural Superserious Lyrics,http://www.metrolyrics.com/supernatural-superserious-lyrics-rem.html,6,2008
Suspicion Lyrics,http://www.metrolyrics.com/suspicion-lyrics-rem.html,6,2006
Swan Swan H Lyrics,http://www.metrolyrics.com/swan-swan-h-lyrics-rem.html,6,2006
Swan Swan Hummingbird Lyrics,http://www.metrolyrics.com/swan-swan-hummingbird-lyrics-rem.html,6,2014
Sweetness Follows Lyrics,http://www.metrolyrics.com/sweetness-follows-lyrics-rem.html,21.755319103969,2006
Tainted Obligation Lyrics,http://www.metrolyrics.com/tainted-obligation-lyrics-rem.html,6,2006
Talk About The Passion Lyrics,http://www.metrolyrics.com/talk-about-the-passion-lyrics-rem.html,21.755319103969,2011
Texarcana Lyrics,http://www.metrolyrics.com/texarcana-lyrics-rem.html,6,2016
Texarkana Lyrics,http://www.metrolyrics.com/texarkana-lyrics-rem.html,6,2006
Texarnaka Lyrics,http://www.metrolyrics.com/texarnaka-lyrics-rem.html,6,2006
That Beat Lyrics,http://www.metrolyrics.com/that-beat-lyrics-rem.html,6,2006
That Someone Is You Lyrics,http://www.metrolyrics.com/that-someone-is-you-lyrics-rem.html,13.726078121136,2011
The After Hours Lyrics,http://www.metrolyrics.com/the-after-hours-lyrics-rem.html,6,2006
The Apologist Lyrics,http://www.metrolyrics.com/the-apologist-lyrics-rem.html,6,2006
The Ascent of Man Lyrics,http://www.metrolyrics.com/the-ascent-of-man-lyrics-rem.html,6,2004
The Boy In The Well Lyrics,http://www.metrolyrics.com/the-boy-in-the-well-lyrics-rem.html,6,2004
The Final Straw Lyrics,http://www.metrolyrics.com/the-final-straw-lyrics-rem.html,6,2004
The Flowers of Guatemala Lyrics,http://www.metrolyrics.com/the-flowers-of-guatemala-lyrics-rem.html,6,2006
The Great Beyond Lyrics,http://www.metrolyrics.com/the-great-beyond-lyrics-rem.html,6,2003
The Lifting Lyrics,http://www.metrolyrics.com/the-lifting-lyrics-rem.html,13.726078121136,2006
The Lion Sleeps Tonight Lyrics,http://www.metrolyrics.com/the-lion-sleeps-tonight-lyrics-rem.html,6,2006
The One I Love Lyrics,http://www.metrolyrics.com/the-one-i-love-lyrics-rem.html,91.391130959295,2008
The Outsiders Lyrics,http://www.metrolyrics.com/the-outsiders-lyrics-rem.html,6,2004
The Sidewinder Sleeps Tonight Lyrics,http://www.metrolyrics.com/the-sidewinder-sleeps-tonight-lyrics-rem.html,73.049200785492,2006
The Sidewinder Sleeps Tonite Lyrics,http://www.metrolyrics.com/the-sidewinder-sleeps-tonite-lyrics-rem.html,35.481397225105,2003
The Wake-up Bomb Lyrics,http://www.metrolyrics.com/the-wakeup-bomb-lyrics-rem.html,6,2006
The Wrong Child Lyrics,http://www.metrolyrics.com/the-wrong-child-lyrics-rem.html,6,2006
Theme From Two Steps Onward Lyrics,http://www.metrolyrics.com/theme-from-two-steps-onward-lyrics-rem.html,6,2006
There She Goes Again Lyrics,http://www.metrolyrics.com/there-she-goes-again-lyrics-rem.html,6,2006
These Days Lyrics,http://www.metrolyrics.com/these-days-lyrics-rem.html,38.533972973918,2006
Time After Time (annelise) Lyrics,http://www.metrolyrics.com/time-after-time-annelise-lyrics-rem.html,6,2006
Tired Of Singing Trouble Lyrics,http://www.metrolyrics.com/tired-of-singing-trouble-lyrics-rem.html,6,2006
Tongue Lyrics,http://www.metrolyrics.com/tongue-lyrics-rem.html,6,2006
Tony Thrown Out Lyrics,http://www.metrolyrics.com/tony-thrown-out-lyrics-rem.html,6,2008
Toys In The Attic Lyrics,http://www.metrolyrics.com/toys-in-the-attic-lyrics-rem.html,6,2006
Try Not To Breathe Lyrics,http://www.metrolyrics.com/try-not-to-breathe-lyrics-rem.html,21.755319103969,2006
Turn You Inside-out Lyrics,http://www.metrolyrics.com/turn-you-insideout-lyrics-rem.html,21.755319103969,2006
Uberlin Lyrics,http://www.metrolyrics.com/uberlin-lyrics-rem.html,41.178234363408,2011
Underneath The Bunker Lyrics,http://www.metrolyrics.com/underneath-the-bunker-lyrics-rem.html,6,2006
Undertow Lyrics,http://www.metrolyrics.com/undertow-lyrics-rem.html,6,2006
Until The Day Is Done Lyrics,http://www.metrolyrics.com/until-the-day-is-done-lyrics-rem.html,13.726078121136,2008
Untitled Lyrics,http://www.metrolyrics.com/untitled-lyrics-rem.html,6,2006
Voice of Harold Lyrics,http://www.metrolyrics.com/voice-of-harold-lyrics-rem.html,6,2006
Wait Lyrics,http://www.metrolyrics.com/wait-lyrics-rem.html,6,2006
Walk It Back Lyrics,http://www.metrolyrics.com/walk-it-back-lyrics-rem.html,6,2011
