name,URL,city,state
Roamin Club,https://roaminrockclub.weebly.com/,Livonia,Michigan
StateLine Gem & Mineral Society,http://statelinegms.com/,Morenci,Michigan
"Tulip City Gem & Mineral Club, Inc.",http://www.tulipcity.org/,Holland,Michigan
Anoka County Gem & Mineral Club,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html,Minneapolis,Minnesota
"Cuyuna Rock, Gem and Mineral Society",http://cuyunarockclub.org/wp/,Brainerd,Minnesota
Minnesota Mineral Club,http://minnesotamineralclub.org/,Falcon Heights,Minnesota
Minnesota Valley Gem & Mineral Club,http://www.mnvalleygemandmineralclub.com/,Mankato,Minnesota
St Croix Rockhounds,http://stcroixrockhounds.org/,Stillwater,Minnesota
"Harrison County Gem & Mineral Society, Inc.",http://www.gulfportgems.org/,Gulfport,Mississippi
Mississippi Gem & Mineral Society,http://missgems.org/,Jackson,Mississippi
Mississippi Geological Society,http://www.missgeo.com/,Jackson,Mississippi
Mississippi Gulf Coast Gem and Mineral Society,http://www.mgcgms.org/,Ocean Springs,Mississippi
North Mississippi Gem and Mineral Society,http://www.nmgms.org/,Tupelo,Mississippi
Central Missouri Rock and Lapidary Club,http://www.cmrlc.org/,Columbia,Missouri
Independence Gem & Mineral Society,http://www.igams.co/,Independence,Missouri
Missouri Valley Gem & Mineral Society,http://www.movalleyrockclub.com/,St. Joseph,Missouri
"Mozarkite Society of Lincoln, Inc.",http://www.mozarkite.com/,Lincoln,Missouri
Ozark Mountain Gem & Mineral Society,https://www.facebook.com/omgms.57,Springfield,Missouri
Rock Hobby Club of Greater Saint Louis,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx,St. Louis,Missouri
Rockwood Gem & Mineral Society,http://rockwood.stlearthsci.org/,St. Louis,Missouri
St. Louis Mineral & Gem Society,http://www.stlrockclub.com/,St. Louis,Missouri
"Show Me Gems & Minerals Club, Inc.",http://showme.stlearthsci.org/,St. Peters,Missouri
Show-Me Rockhounds Kansas City,https://showmerockhounds.com/,Kansas City,Missouri
"Billings Gem & Mineral Club, Inc.",http://www.billingsgemclub.com/,Billings,Montana
Bitterroot Gem & Mineral Society,http://www.ravalligemandmineralclub.org/,Corvallis,Montana
Bozeman Gem and Mineral Club,http://bozemangemandmineralclub.com/,Bozeman,Montana
Hellgate Mineral Society,https://www.facebook.com/HellgateMineralSociety/,Missoula,Montana
Kalispell Rockhound Club,http://www.kalispellrockhounds.org/,Kalispell,Montana
"Lincoln Gem & Mineral Club, Inc.",https://www.lincolngemmineralclub.org/,Lincoln,Nebraska
Comstock Gold Prospectors,http://cgpgold.org/,Reno,Nevada
Great Basin Gem & Mineral Club,http://greatbasingemandmineralclub.rocks/,Carson City,Nevada
High Desert Rockers,https://highdesertrockers.wordpress.com/,Carson City,Nevada
Nye Gold Seekers,http://nyegoldseekers.webs.com/,Pahrump,Nevada
Reno Gem and Mineral Society,http://www.renorockhounds.com/,Reno,Nevada
Southern Nevada Gem and Mineral Society,http://www.snvgms.org/,Las Vegas,Nevada
Capital Mineral Club,http://www.capitalmineralclub.org/,Concord,Hampshire
Keene Mineral Club,https://sites.google.com/site/keenemineralclub/home,Keene,Hampshire
Saco Valley Gem and Mineral Club,http://www.sacovalleygemandmineralclub.org/,Conway,Hampshire
Southeastern New Hampshire Mineral Club,https://www.senhmc.org/,Dover,Hampshire
Cape Atlantic Rockhounds Inc.,http://www.capeatlanticrockhounds.com/,Cologne,Jersey
Delaware Valley Earth Science Society,http://www.dvess.org/,Woodbury,Jersey
Friends of Mineralogy - New Jersey Chapter,https://fomnj.wordpress.com/,Marlboro Township,Jersey
Morris Museum Mineralogical Society,http://morrismuseum.org/mineral-society/,Morristown,Jersey
"New Jersey Mineralogical Society, Inc",http://www.njmin.org/,Mountainside,Jersey
"North Jersey Mineralogical Society, Inc.",http://www.nojms.webs.com/,Paterson,Jersey
Albuquerque Gem & Mineral Club,http://www.agmc.info/,Albuquerque,Mexico
Carlsbad Gem and Mineral Society,http://www.carlsbadgms.org/,Carlsbad,Mexico
Deming Gem & Mineral Society,http://www.thedgms.com/,Deming,Mexico
"Grant County Rolling Stones Gem & Mineral Society, Inc.",http://rollingstonesgms.blogspot.com/,Silver City,Mexico
Los Alamos Geological Society,http://pweb.netcom.com/~hoffmans/LAGS.html,Los Alamos,Mexico
"Buffalo Geological Society, Inc.",http://www.bgsny.org/,Buffalo,York
Capital District Mineral Club,http://capitaldistrictmineralclub.com/,Albany,York
"Gem and Mineral Society of Syracuse, Inc.",http://www.gmss.us/,Syracuse,York
Island Rockhounds Inc.,http://www.islandrockhounds.org/,Bellmore,York
Long Island Mineral & Geology Society,http://www.limineralandgeology.com/LiMags/Home.html,Jamesport,York
Mid-Hudson Valley Gem and Mineral Society Inc.,http://mhvgms.org/index.html,Poughkeepsie,York
Nassau Mineral Club,http://nassaumineralclub.org/,Glen Cove,York
New York Mineralogical Club,http://www.newyorkmineralogicalclub.org/,NYC,York
New York Paleontological Society,http://www.nyps.org/index.htm,NYC,York
Orange County Mineral Society,http://www.orangecountymineralsocietynewyork.com/,Middletown,York
Rochester Academy of Science,http://www.rasny.org/,Rochester,York
Rochester Lapiday Society,http://www.rochesterlapidary.org/,Rochester,York
St. Lawrence County Rock & Mineral Club,http://stlawrencecountymineralclub.org/,Canton,York
Suffolk Gem & Mineral Club,http://www.suffolkgem.com/,Bay Shore,York
Wayne County Gem and Mineral Club,http://www.wcgmc.org/,Newark,York
Cape Fear Mineral & Gem Society,http://www.mercergarden.com/GemClub.html,Fayetteville,Carolina
Catawba Valley Gem & Mineral Club,http://www.cvgmc.com/,Hickory,Carolina
Central North Carolina Mineral Club,http://www.centralncmineralclub.org/,Chapel Hill,Carolina
Charlotte Gem & Mineral Club,http://www.charlottegem.com/,Charlotte,Carolina
Forsyth Gem and Mineral Club,http://www.forsythgemclub.com/fgmcmain.html,Winston-Salem,Carolina
"Gaston Gem, Mineral and Faceters Club",http://gastongemclub.weebly.com/,Gastonia,Carolina
Gem & Mineral Society of Franklin,http://www.fgmm.org/,Franklin,Carolina
Greensboro Gem & Mineral Club,http://www.ggmc-rockhounds.com/,Greensboro,Carolina
Henderson County Gem and Mineral Society,http://hcgms.com/index.html,Hendersonville,Carolina
Mountain Area Gem and Mineral Association (MAGMA),http://www.wncrocks.com/magma/magma.html,Asheville,Carolina
North Carolina Fossil Club,http://www.ncfossilclub.org/,Raleigh,Carolina
Southern Appalachian Mineral Society,http://www.main.nc.us/sams/,Asheville,Carolina
